P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100,Dist
6,55,3,96,72,51,81,83,25,37,26,73,61,88,44,94,31,97,93,56,98,17,80,28,62,45,11,69,77,38,42,8,79,84,90,52,23,75,12,66,65,19,27,21,48,5,29,59,64,87,43,82,50,71,13,36,1,15,49,63,47,7,34,40,35,33,86,60,74,70,76,46,57,20,95,4,39,85,9,10,24,2,18,53,67,14,41,58,89,100,78,92,99,32,22,91,68,54,16,30,10.54192979
65,36,1,71,82,43,87,31,64,59,28,72,35,40,34,6,77,78,30,54,68,91,22,32,99,92,16,58,100,89,41,14,67,53,37,25,8,98,7,86,33,60,74,70,76,47,63,29,50,94,85,9,10,24,2,18,26,73,61,83,42,51,62,96,3,45,11,55,69,38,81,17,49,15,19,27,52,21,48,5,90,46,84,80,56,93,97,79,88,44,4,39,95,20,57,13,66,12,75,23,10.54603273
47,7,33,86,76,46,90,5,48,21,52,27,19,23,36,1,71,82,20,95,43,87,64,31,44,85,24,10,9,39,4,57,13,66,12,75,65,94,88,61,37,53,41,14,67,18,2,73,26,25,83,79,97,93,56,51,62,45,11,55,81,17,98,42,38,69,6,77,78,30,16,92,99,32,22,91,68,54,58,100,89,8,80,28,72,96,3,34,40,35,60,74,70,63,84,49,15,50,29,59,10.548045
35,72,62,17,8,83,25,37,53,67,14,41,89,100,42,38,45,11,55,6,69,51,28,63,5,49,50,94,44,88,61,73,26,18,2,24,10,9,85,39,20,95,4,79,58,54,68,91,22,32,99,92,16,30,78,77,81,98,59,29,48,21,90,46,74,70,60,33,86,76,80,56,93,97,31,64,87,43,82,65,23,75,12,66,13,57,71,1,15,36,19,27,52,84,47,7,96,3,34,40,10.54964012
57,20,95,71,65,36,1,82,94,44,4,39,85,9,10,24,2,18,26,73,61,88,79,25,37,53,67,14,58,77,6,69,38,81,42,17,98,56,59,29,27,19,15,64,31,87,43,50,49,21,48,5,84,76,33,86,47,63,28,80,93,97,8,83,41,89,100,78,30,16,54,68,91,22,32,99,92,55,34,40,35,96,3,11,45,60,74,70,7,72,62,51,46,90,52,23,75,12,66,13,10.55209117
94,44,59,28,51,62,96,3,34,40,35,7,72,45,11,55,6,92,99,32,22,91,68,54,16,30,31,64,87,43,29,5,49,50,82,95,4,39,9,85,73,61,88,97,93,56,8,79,25,83,89,78,77,69,38,81,17,80,98,42,100,58,41,14,67,53,37,26,18,2,24,10,20,57,13,66,12,75,23,65,36,15,84,63,47,76,86,33,60,70,74,46,90,48,21,52,27,19,1,71,10.55745249
75,23,65,36,19,27,15,1,71,82,4,39,85,9,10,24,2,18,26,37,58,100,78,92,99,32,22,91,68,54,16,30,77,38,81,63,5,48,21,84,47,45,11,55,6,69,72,7,86,33,60,74,70,76,46,90,52,49,50,29,59,80,28,96,3,34,40,35,62,51,8,83,25,53,67,14,41,89,42,17,98,56,93,97,79,61,73,88,31,64,87,43,94,44,95,20,57,13,66,12,10.57380187
78,30,16,99,92,6,69,55,34,40,35,96,3,11,45,62,72,7,63,84,5,48,90,46,74,70,60,33,86,76,47,80,93,97,85,9,10,24,2,18,73,26,37,25,61,88,44,4,39,20,95,82,43,87,64,31,79,8,54,68,91,22,32,77,51,28,59,29,50,71,19,27,52,21,49,15,1,36,65,23,75,12,66,13,57,94,56,98,17,81,38,42,83,53,67,14,41,58,89,100,10.57644167
3,96,7,86,33,60,70,74,46,90,21,52,27,19,23,75,12,66,13,65,36,15,1,71,87,31,64,29,84,5,48,49,50,94,44,88,2,24,10,9,85,39,4,95,20,57,82,43,59,80,56,93,97,8,83,30,16,54,68,91,22,32,99,92,6,69,55,34,40,35,11,77,58,41,14,67,53,37,25,26,18,73,61,79,98,28,51,81,38,78,100,89,42,17,63,47,76,72,62,45,10.57674378
74,35,40,34,55,69,77,17,98,56,93,59,29,84,63,47,7,33,86,76,46,90,52,21,48,5,80,28,51,62,72,96,3,45,11,6,16,54,68,91,22,32,99,92,30,78,38,81,42,89,100,58,41,14,67,53,83,8,97,64,31,94,44,4,39,95,20,57,13,66,12,71,82,43,87,50,15,1,36,65,75,23,19,27,49,88,25,37,26,18,24,10,9,85,2,73,61,79,60,70,10.58266501
